"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"04/28/2020","28","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"04/29/2020","15","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"04/30/2020","35","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"05/01/2020","36","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/02/2020","19","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"05/03/2020","26","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/04/2020","33","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/05/2020","26","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/06/2020","43","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/07/2020","57","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"05/08/2020","53","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"05/09/2020","44","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"05/10/2020","36","Good","Oakland","06-001-0009","AQS"
"05/11/2020","24","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/12/2020","23","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/13/2020","24","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/14/2020","23","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/15/2020","20","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/16/2020","16","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/17/2020","20","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/18/2020","20","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/19/2020","24","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/20/2020","26","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/21/2020","35","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/22/2020","42","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"05/23/2020","52","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"05/24/2020","55","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"05/25/2020","57","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"05/26/2020","55","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"05/27/2020","53","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"05/28/2020","28","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"05/29/2020","22","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"05/30/2020","23","Good","Laney College","06-001-0012","AQS"
"05/31/2020","22","Good","Berkeley Aquatic Park","06-001-0013","AQS"
